merchant_id,total_transaction_volume,avg_transaction_size,transaction_frequency,avg_monthly_transactions,payment_method_diversity,success_rate,merchant_age_days
m_000f075d63,494575.00,49457.500000,10,5,3,1.000000000000,675
m_01b846e000,656846.00,43789.733333,15,7.5,3,1.000000000000,697
m_01e9a0b208,1093271.00,37699.000000,29,9.66666666666667,3,1.000000000000,725
m_02f4599a40,19764768.00,40254.109979,491,49.1,3,0.997963340122,728
m_03a6e19aa3,342019.00,48859.857142,7,3.5,3,1.000000000000,691
m_0428750f7d,167924.00,41981.000000,4,1.33333333333333,3,1.000000000000,729
m_045d08bf26,9400435.00,38369.122448,245,40.8333333333333,3,1.000000000000,696
m_067751ce34,124925.00,20820.833333,6,2,3,1.000000000000,724
m_06e4d0ee44,10210394.00,43448.485106,235,39.1666666666667,3,1.000000000000,721
m_075e13f3a4,816710.00,40835.500000,20,6.66666666666667,3,1.000000000000,681
m_07ebc45136,883499.00,46499.947368,19,9.5,3,1.000000000000,703
m_0819a74639,1780755.00,45660.384615,39,9.75,3,0.974358974358,707
m_0a33294aa4,7177582.00,35012.595121,205,41,3,1.000000000000,694
m_0b19e4df03,3034645.00,40461.933333,75,25,3,1.000000000000,689
m_0b63edeb9f,734283.00,48952.200000,15,7.5,3,1.000000000000,708
m_0c814b691f,538581.00,44881.750000,12,4,3,1.000000000000,717
m_0cd0a5139b,568497.00,40606.928571,14,4.66666666666667,3,1.000000000000,722
m_0cd31d704f,4239407.00,40763.528846,104,14.8571428571429,3,1.000000000000,699
m_0e6fe2fdca,46956.00,46956.000000,1,NULL,1,1.000000000000,697
m_0f9baa1676,7913834.00,42319.967914,187,37.4,3,1.000000000000,707
m_1169f936bb,3380566.00,42257.075000,80,26.6666666666667,3,1.000000000000,680
m_11c30dc2e9,1653463.00,44688.189189,37,9.25,3,1.000000000000,700
m_12872df906,936317.00,39013.208333,24,6,3,1.000000000000,720
m_1382df1f71,1352621.00,45087.366666,30,10,3,0.966666666666,697
m_14591d2f1b,986845.00,39473.800000,25,8.33333333333333,3,1.000000000000,708
m_1521b5045d,2342377.00,34446.720588,68,11.3333333333333,3,1.000000000000,729
m_16589a1b00,2998900.00,42841.428571,70,11.6666666666667,3,1.000000000000,677
m_16e1660a09,4495992.00,44959.920000,100,12.5,3,1.000000000000,686
m_17043e6f5b,3395273.00,36119.925531,94,31.3333333333333,3,1.000000000000,681
m_17210dcac4,6046347.00,39008.690322,155,38.75,3,1.000000000000,678
m_181b8476e0,157310.00,39327.500000,4,2,2,1.000000000000,701
m_184699b8c1,7633855.00,41042.231182,186,46.5,3,1.000000000000,700
m_1a2b51f33c,10677944.00,41227.583011,259,37,3,1.000000000000,717
m_1a68c4cbb4,508852.00,39142.461538,13,6.5,3,1.000000000000,686
m_1ac3590983,821725.00,51357.812500,16,8,3,1.000000000000,694
m_1bf89bce1c,146549.00,29309.800000,5,2.5,2,1.000000000000,697
m_1c18ca4f64,210913.00,42182.600000,5,NULL,2,1.000000000000,680
m_1c52d68aa6,4522205.00,41872.268518,108,36,3,1.000000000000,675
m_1ceb4d525d,704236.00,39124.222222,18,9,3,1.000000000000,702
m_1fa3a2c0aa,38963.00,38963.000000,1,NULL,1,1.000000000000,730
m_1fd1bf0a2b,61538.00,20512.666666,3,1.5,3,1.000000000000,711
m_2051e1ad5b,170002.00,42500.500000,4,2,2,1.000000000000,700
m_22833a3a43,536825.00,53682.500000,10,5,3,1.000000000000,689
m_22b9004798,851919.00,44837.842105,19,6.33333333333333,3,0.947368421052,682
m_23584e377a,947531.00,41197.000000,23,7.66666666666667,3,1.000000000000,684
m_237772a721,718247.00,29926.958333,24,8,3,1.000000000000,718
m_23c3c28070,7051447.00,40759.809248,173,43.25,3,1.000000000000,692
m_2414ba1714,2062606.00,36832.250000,56,11.2,3,1.000000000000,721
m_2472aa89db,317200.00,35244.444444,9,4.5,3,1.000000000000,676
m_24c4fe5068,1528434.00,40221.947368,38,9.5,3,1.000000000000,678
m_250c027d7e,277157.00,34644.625000,8,NULL,3,1.000000000000,682
m_250c87aa54,788786.00,46399.176470,17,5.66666666666667,3,1.000000000000,687
m_26247f35f0,65528.00,65528.000000,1,NULL,1,1.000000000000,732
m_282750b3a4,3408725.00,37458.516483,91,22.75,3,1.000000000000,717
m_28a4e23781,2267907.00,40498.339285,56,9.33333333333333,3,1.000000000000,712
m_292333b8ef,865030.00,41191.904761,21,10.5,3,1.000000000000,674
m_2988f6eef7,1376159.00,47453.758620,29,14.5,3,1.000000000000,673
m_29ca273889,17366446.00,41348.680952,420,46.6666666666667,3,1.000000000000,704
m_29df738521,6327365.00,39794.748427,159,39.75,3,1.000000000000,706
m_29fa4af120,544960.00,30275.555555,18,6,3,1.000000000000,714
m_2b65e6087c,1400374.00,45173.354838,31,10.3333333333333,3,0.967741935483,695
m_2b87c6392f,557199.00,30955.500000,18,9,3,1.000000000000,693
m_2c89fbd79c,312747.00,28431.545454,11,5.5,3,1.000000000000,675
m_2d480b2df9,1866920.00,40585.217391,46,11.5,3,1.000000000000,675
m_2e0c794d1b,2414009.00,42351.035087,57,11.4,3,1.000000000000,675
m_2fc28d4a6b,2640429.00,37720.414285,70,23.3333333333333,3,1.000000000000,704
m_2ff40be70a,521903.00,37278.785714,14,4.66666666666667,3,1.000000000000,719
m_30315e8abb,48300.00,48300.000000,1,NULL,1,1.000000000000,696
m_3095be967f,1631768.00,40794.200000,40,20,3,1.000000000000,698
m_3098bbde3c,1636726.00,38969.666666,42,21,3,1.000000000000,678
m_309a636592,3529693.00,39659.471910,89,29.6666666666667,3,1.000000000000,682
m_31822b607b,372347.00,37234.700000,10,3.33333333333333,3,0.900000000000,731
m_321414b094,2296215.00,34271.865671,67,33.5,3,1.000000000000,711
m_3343cdeae1,680560.00,56713.333333,12,6,3,1.000000000000,688
m_3372dbb15a,2472975.00,44160.267857,56,11.2,3,1.000000000000,679
m_35c27054bf,910140.00,39571.304347,23,11.5,3,1.000000000000,684
m_366f98eda7,1352424.00,45080.800000,30,10,3,1.000000000000,707
m_36ab1e818f,1521593.00,37112.024390,41,10.25,3,1.000000000000,709
m_372504a9f0,576676.00,36042.250000,16,8,3,1.000000000000,705
m_3829da0d98,2480533.00,39373.539682,63,9,3,1.000000000000,721
m_3a0b2655c2,659486.00,34709.789473,19,9.5,3,1.000000000000,691
m_3a67f3c3c3,1729068.00,42172.390243,41,8.2,3,1.000000000000,692
m_3a9024559f,289526.00,28952.600000,10,3.33333333333333,3,1.000000000000,725
m_3add94cc04,823124.00,39196.380952,21,10.5,3,1.000000000000,680
m_3b6f5e7ab7,137977.00,34494.250000,4,2,2,1.000000000000,715
m_3b987f526e,979689.00,33782.379310,29,14.5,3,1.000000000000,706
m_3ba995f686,904128.00,45206.400000,20,5,3,1.000000000000,720
m_3bbc480854,124475.00,20745.833333,6,2,3,1.000000000000,724
m_3bc40babf3,742686.00,37134.300000,20,6.66666666666667,3,1.000000000000,710
m_3dce738f35,58986.00,58986.000000,1,NULL,1,1.000000000000,728
m_3ef8f43c97,34927.00,17463.500000,2,1,1,1.000000000000,673
m_3ff0ec631c,117260.00,58630.000000,2,NULL,2,1.000000000000,693
m_4053ee70a0,4757831.00,40320.601694,118,39.3333333333333,3,1.000000000000,691
m_40f0ac96eb,3611986.00,43517.903614,83,27.6666666666667,3,1.000000000000,710
m_437cf27b48,1455882.00,37330.307692,39,19.5,3,1.000000000000,693
m_43e41877e5,2022429.00,37452.388888,54,9,3,1.000000000000,724
m_476fd597f6,785545.00,37406.904761,21,5.25,3,1.000000000000,726
m_478d1c7b15,177567.00,29594.500000,6,3,3,1.000000000000,710
m_49ca3ee0b3,1780962.00,42403.857142,42,21,3,1.000000000000,696
m_4a698d8b4c,5256002.00,41062.515625,128,32,3,1.000000000000,727
m_4bc66994d6,2003382.00,41737.125000,48,12,3,1.000000000000,682
m_4bda98f51d,1583658.00,40606.615384,39,19.5,3,1.000000000000,690
m_4cb0ef01fc,2208855.00,42477.980769,52,26,3,1.000000000000,707
m_4d1676ece9,1688739.00,40208.071428,42,21,3,0.976190476190,680
m_4dba1746af,228295.00,38049.166666,6,2,3,1.000000000000,718
m_50ba87a2ef,633260.00,45232.857142,14,NULL,3,1.000000000000,674
m_50be243ae4,305818.00,50969.666666,6,3,2,1.000000000000,699
m_510e9da692,1515984.00,40972.540540,37,9.25,3,1.000000000000,697
m_51f5e8dc90,713790.00,33990.000000,21,10.5,3,0.952380952380,705
m_5256ceaa87,810662.00,42666.421052,19,9.5,3,1.000000000000,693
m_53e1cf17dd,3512595.00,41324.647058,85,14.1666666666667,3,1.000000000000,681
m_54d77390be,695967.00,49711.928571,14,7,3,1.000000000000,686
m_550aee8a05,535287.00,38234.785714,14,7,3,1.000000000000,701
m_563d65aed0,1024402.00,40976.080000,25,6.25,3,1.000000000000,719
m_56a80ef3a4,166590.00,55530.000000,3,1.5,2,1.000000000000,696
m_570ff787b5,2172894.00,40998.000000,53,10.6,3,1.000000000000,714
m_5817aa64f6,7375632.00,39653.935483,186,46.5,3,1.000000000000,694
m_58e43f9326,211497.00,30213.857142,7,3.5,3,1.000000000000,705
m_59078bef32,1015983.00,46181.045454,22,5.5,3,1.000000000000,721
m_59792d7346,1948773.00,39770.877551,49,8.16666666666667,3,1.000000000000,730
m_5af252200c,3299098.00,38812.917647,85,14.1666666666667,3,1.000000000000,685
m_5cb0b41ff0,255732.00,36533.142857,7,3.5,2,0.857142857142,689
m_5d2e70eb02,437806.00,36483.833333,12,6,3,1.000000000000,711
m_5e7799257d,3682762.00,37199.616161,99,33,3,1.000000000000,705
m_5eff2e78b7,116728.00,58364.000000,2,1,2,1.000000000000,673
m_614788b43e,3404744.00,41021.012048,83,27.6666666666667,3,1.000000000000,702
m_63f3a7cfaa,8172939.00,41912.507692,195,32.5,3,1.000000000000,732
m_640753638b,1087480.00,45311.666666,24,8,3,1.000000000000,698
m_6410c62ac0,1660364.00,43693.789473,38,7.6,3,1.000000000000,715
m_64355aa980,566411.00,37760.733333,15,7.5,3,1.000000000000,673
m_6485f0d614,122877.00,40959.000000,3,1.5,2,1.000000000000,686
m_653a1a8a3d,1516441.00,44601.205882,34,8.5,3,0.970588235294,712
m_65c3e0b150,18970497.00,39853.985294,476,52.8888888888889,3,1.000000000000,686
m_661674c0c0,1734020.00,37696.086956,46,11.5,3,1.000000000000,707
m_661ab8544c,204743.00,40948.600000,5,2.5,1,1.000000000000,731
m_66d24572cc,12116330.00,41352.662116,293,41.8571428571429,3,1.000000000000,719
m_66e80bba52,10428758.00,39653.072243,263,37.5714285714286,3,1.000000000000,720
m_674316adbd,664537.00,33226.850000,20,6.66666666666667,3,1.000000000000,728
m_67607d7b67,63609.00,63609.000000,1,NULL,1,1.000000000000,703
m_677a0b5879,2965490.00,37068.625000,80,26.6666666666667,3,1.000000000000,706
m_6a985a222c,136141.00,27228.200000,5,2.5,2,1.000000000000,709
m_6aed2f1bc2,3279250.00,43723.333333,75,25,3,1.000000000000,715
m_6c8da33c57,1114556.00,44582.240000,25,8.33333333333333,3,1.000000000000,711
m_70285871e0,631167.00,37127.470588,17,8.5,3,1.000000000000,676
m_7053f46f2e,1502468.00,41735.222222,36,7.2,3,0.972222222222,727
m_70863806eb,121500.00,40500.000000,3,1,3,1.000000000000,710
m_70b2998001,525150.00,37510.714285,14,7,3,1.000000000000,692
m_70b56d545d,454127.00,50458.555555,9,4.5,3,1.000000000000,688
m_70ef414429,1893902.00,46192.731707,41,10.25,3,1.000000000000,714
m_7243af85da,1064706.00,46291.565217,23,7.66666666666667,3,1.000000000000,711
m_72932eece9,2166778.00,38692.464285,56,11.2,3,1.000000000000,730
m_729489e917,1926881.00,41888.717391,46,11.5,3,1.000000000000,705
m_72de4cd20d,233283.00,46656.600000,5,2.5,3,1.000000000000,689
m_73062da649,792565.00,37741.190476,21,5.25,3,1.000000000000,723
m_73d8b36703,3718941.00,40423.271739,92,10.2222222222222,3,1.000000000000,724
m_7477acaa3d,1131842.00,47160.083333,24,8,3,1.000000000000,693
m_757792376b,802031.00,42212.157894,19,9.5,3,1.000000000000,674
m_757e118272,474976.00,43179.636363,11,5.5,3,1.000000000000,684
m_75d0daff2b,2493237.00,38357.492307,65,10.8333333333333,3,1.000000000000,730
m_7619409c0c,1159368.00,29727.384615,39,9.75,3,0.974358974358,704
m_771d35c6c7,732947.00,40719.277777,18,9,3,1.000000000000,699
m_7902fd912b,659445.00,43963.000000,15,7.5,3,1.000000000000,708
m_795340fd40,3040510.00,40540.133333,75,18.75,3,1.000000000000,718
m_79e8d26561,150442.00,30088.400000,5,1.66666666666667,2,1.000000000000,713
m_7a0ab9a43b,181135.00,20126.111111,9,3,3,1.000000000000,716
m_7b0b332148,2142089.00,44626.854166,48,12,3,1.000000000000,694
m_7b4d7a2894,8443383.00,42859.812182,197,39.4,3,1.000000000000,683
m_7cf231f57f,157315.00,31463.000000,5,2.5,3,1.000000000000,731
m_7d194318d1,675351.00,61395.545454,11,3.66666666666667,3,1.000000000000,721
m_7ddddf7c98,1292052.00,34920.324324,37,7.4,3,1.000000000000,717
m_7e882ba60b,867175.00,48176.388888,18,9,3,1.000000000000,700
m_7eeeba7574,173700.00,43425.000000,4,2,3,1.000000000000,679
m_7f0123dd7d,2312679.00,43635.452830,53,10.6,3,1.000000000000,730
m_7f7d8e35d9,5792783.00,45256.117187,128,14.2222222222222,3,1.000000000000,703
m_7f89edd5d5,1162033.00,41501.178571,28,9.33333333333333,3,1.000000000000,724
m_7faa403cea,3210088.00,40634.025316,79,26.3333333333333,3,1.000000000000,709
m_8069042711,165170.00,33034.000000,5,2.5,2,1.000000000000,716
m_8072e002cd,2334590.00,43233.148148,54,10.8,3,1.000000000000,721
m_80a272248c,1529072.00,36406.476190,42,14,3,1.000000000000,675
m_80ace90443,491835.00,35131.071428,14,7,3,1.000000000000,682
m_8118a3d422,101691.00,33897.000000,3,NULL,2,1.000000000000,700
m_81efeda3e4,11290113.00,41660.933579,271,45.1666666666667,3,1.000000000000,708
m_823631e4b9,1294040.00,51761.600000,25,8.33333333333333,3,0.960000000000,684
m_83f2a0659c,117825.00,29456.250000,4,2,1,1.000000000000,688
m_842c3a84a3,2511887.00,39871.222222,63,21,3,1.000000000000,731
m_8450ac37b4,1474736.00,43374.588235,34,11.3333333333333,3,1.000000000000,675
m_85083dd0f0,3601180.00,40013.111111,90,30,3,1.000000000000,698
m_879aa4758c,468391.00,46839.100000,10,5,3,1.000000000000,723
m_87be9b1af6,1274304.00,42476.800000,30,15,3,0.966666666666,688
m_898ded2410,400638.00,50079.750000,8,2.66666666666667,3,1.000000000000,717
m_8a19a2f57a,585950.00,34467.647058,17,5.66666666666667,3,1.000000000000,718
m_8ae2078642,6257430.00,43758.251748,143,35.75,3,1.000000000000,676
m_8da4c18fe0,1284952.00,49421.230769,26,13,3,1.000000000000,695
m_8dfaae8206,353524.00,50503.428571,7,3.5,3,1.000000000000,697
m_8e03759679,298082.00,42583.142857,7,3.5,3,1.000000000000,686
m_8e72acadfe,225340.00,45068.000000,5,2.5,3,1.000000000000,687
m_8ea0fd18f2,1204386.00,38851.161290,31,10.3333333333333,3,1.000000000000,685
m_8f52ee4bb0,330072.00,27506.000000,12,6,3,1.000000000000,698
m_8f8863c047,266299.00,44383.166666,6,NULL,3,1.000000000000,712
m_90203a4037,3440711.00,40008.267441,86,28.6666666666667,3,1.000000000000,701
m_90b3df7a8a,1778663.00,37843.893617,47,7.83333333333333,3,1.000000000000,729
m_9112550cdc,5405153.00,43241.224000,125,41.6666666666667,3,1.000000000000,710
m_9213804792,216932.00,36155.333333,6,NULL,3,1.000000000000,679
m_92ec3c0811,20051.00,20051.000000,1,NULL,1,1.000000000000,699
m_9432f62506,1750149.00,41670.214285,42,8.4,3,1.000000000000,713
m_94d4281388,496715.00,38208.846153,13,6.5,3,0.923076923076,700
m_955ef28d6b,3851558.00,38904.626262,99,33,3,1.000000000000,705
m_98212f2404,3722750.00,37227.500000,100,12.5,3,1.000000000000,694
m_98a7c5ce4f,181775.00,45443.750000,4,2,2,1.000000000000,706
m_990a8f98b1,3164965.00,35965.511363,88,11,3,1.000000000000,731
m_9934f53be6,15181955.00,44262.259475,343,49,3,1.000000000000,707
m_99814a7f24,2368934.00,47378.680000,50,12.5,3,1.000000000000,680
m_9b205603cb,2091805.00,36698.333333,57,9.5,3,1.000000000000,722
m_9bf28711c7,75025.00,25008.333333,3,1.5,3,1.000000000000,709
m_9ccd8e2b37,85204.00,42602.000000,2,1,2,1.000000000000,681
m_9d43863046,37175.00,37175.000000,1,NULL,1,1.000000000000,710
m_9dafa16a2f,1877005.00,40804.456521,46,11.5,3,1.000000000000,708
m_9e60d8ee82,99634.00,33211.333333,3,1.5,2,1.000000000000,698
m_9fd2c103fb,1072772.00,46642.260869,23,5.75,3,1.000000000000,722
m_a0ecbb09ce,3938581.00,43762.011111,90,12.8571428571429,3,1.000000000000,700
m_a2e3907623,44056.00,44056.000000,1,NULL,1,1.000000000000,673
m_a44445d690,1285221.00,45900.750000,28,7,3,1.000000000000,714
m_a4cb633421,399076.00,39907.600000,10,5,3,1.000000000000,712
m_a4de45f48a,8148275.00,40946.105527,199,39.8,3,1.000000000000,674
m_a5321f2652,631525.00,39470.312500,16,5.33333333333333,3,1.000000000000,703
m_a642533d25,223175.00,55793.750000,4,2,3,1.000000000000,707
m_a65d049a77,9441354.00,41228.620087,229,45.8,3,0.995633187772,692
m_a7201d3654,156099.00,31219.800000,5,2.5,2,1.000000000000,705
m_a7948f41f1,637585.00,45541.785714,14,4.66666666666667,3,1.000000000000,730
m_a86e4162cb,797582.00,36253.727272,22,7.33333333333333,3,1.000000000000,709
m_aa052e5b6f,2835153.00,38837.712328,73,24.3333333333333,3,1.000000000000,731
m_aa99f091bc,559720.00,39980.000000,14,7,3,1.000000000000,693
m_aa9beef584,483378.00,43943.454545,11,5.5,2,1.000000000000,679
m_ae0b139f35,765520.00,54680.000000,14,7,3,1.000000000000,683
m_ae0f14ce27,791936.00,52795.733333,15,5,3,1.000000000000,726
m_ae7828a4bc,120484.00,40161.333333,3,NULL,3,0.666666666666,710
m_aea08a10c1,953000.00,39708.333333,24,8,3,1.000000000000,685
m_aea6e2e37b,342845.00,42855.625000,8,4,3,1.000000000000,698
m_aebad89e92,858178.00,33006.846153,26,8.66666666666667,3,1.000000000000,709
m_aee406d367,2528945.00,37190.367647,68,13.6,3,1.000000000000,698
m_aef8f92b52,5165066.00,40039.271317,129,43,3,0.992248062015,684
m_af105d17e0,394954.00,43883.777777,9,NULL,3,1.000000000000,678
m_afc4334094,1424422.00,36523.641025,39,13,3,0.974358974358,684
m_afc8dce618,1260862.00,43478.000000,29,9.66666666666667,3,1.000000000000,675
m_afdadda8e4,715162.00,39731.222222,18,9,3,1.000000000000,691
m_b0ba9a23c9,1549747.00,37798.707317,41,20.5,3,1.000000000000,684
m_b0e9528736,82681.00,27560.333333,3,1.5,2,1.000000000000,677
m_b162d7573c,512064.00,28448.000000,18,6,3,1.000000000000,704
m_b22e58fcaf,1178579.00,45329.961538,26,6.5,3,1.000000000000,725
m_b3b2c91d06,4313534.00,42289.549019,102,34,3,1.000000000000,703
m_b48c38c55d,634057.00,35225.388888,18,9,3,0.944444444444,725
m_b5a9b5bd73,1480009.00,42285.971428,35,17.5,3,1.000000000000,676
m_b661bb9370,254158.00,36308.285714,7,3.5,3,1.000000000000,690
m_b6c5ec39ef,802550.00,44586.111111,18,9,3,1.000000000000,715
m_b824b200b5,3592215.00,39045.815217,92,30.6666666666667,3,1.000000000000,694
m_b8cc216520,392843.00,56120.428571,7,3.5,3,1.000000000000,709
m_b8d3e2a538,623118.00,38944.875000,16,8,3,1.000000000000,711
m_b92e85bfab,1736675.00,39469.886363,44,8.8,3,1.000000000000,683
m_b953dac151,5517577.00,42771.914728,129,32.25,3,1.000000000000,674
m_b97ad0826f,5291519.00,41019.527131,129,32.25,3,1.000000000000,715
m_ba4896a688,878574.00,39935.181818,22,7.33333333333333,3,1.000000000000,707
m_bd4ab71913,447275.00,34405.769230,13,6.5,3,1.000000000000,684
m_bdcbc0ef5d,426423.00,47380.333333,9,4.5,3,1.000000000000,675
m_bea24d6e34,1091315.00,57437.631578,19,9.5,3,1.000000000000,719
m_c0078c079b,1980135.00,38826.176470,51,25.5,3,0.980392156862,676
m_c00e07a77b,1545036.00,39616.307692,39,9.75,3,1.000000000000,705
m_c0ddf20c04,7851002.00,43375.701657,181,45.25,3,1.000000000000,687
m_c116ceb88d,549842.00,36656.133333,15,7.5,3,1.000000000000,694
m_c21c0ce176,185183.00,46295.750000,4,NULL,2,1.000000000000,694
m_c39ad39100,2715402.00,42428.156250,64,12.8,3,1.000000000000,698
m_c4a6136686,3455054.00,40647.694117,85,28.3333333333333,3,1.000000000000,679
m_c57ae6c452,647518.00,35973.222222,18,9,3,1.000000000000,684
m_c629cab247,4156283.00,40352.262135,103,12.875,3,0.990291262135,678
m_c68c9f18a3,1156194.00,36131.062500,32,8,3,1.000000000000,688
m_c741fbba85,6622285.00,40878.302469,162,40.5,3,1.000000000000,696
m_c82d29a5d7,664333.00,47452.357142,14,7,3,1.000000000000,723
m_c990ed76d9,2792141.00,40465.811594,69,9.85714285714286,3,1.000000000000,728
m_cbb189b323,754828.00,41934.888888,18,9,3,0.944444444444,679
m_cde0e25b7a,59626.00,59626.000000,1,NULL,1,1.000000000000,716
m_ce35229458,776902.00,40889.578947,19,6.33333333333333,3,1.000000000000,693
m_ced3fdd40f,1851693.00,43062.627906,43,21.5,3,1.000000000000,700
m_cfaad15ce5,7582298.00,43576.425287,174,34.8,3,1.000000000000,727
m_d01b7c6e94,1020077.00,36431.321428,28,9.33333333333333,3,1.000000000000,697
m_d057b239bc,5109088.00,40548.317460,126,42,3,1.000000000000,717
m_d06f0a4803,7842830.00,45597.848837,172,43,3,1.000000000000,686
m_d0c2795faa,176153.00,35230.600000,5,2.5,2,1.000000000000,717
m_d2864589de,4173310.00,41319.900990,101,12.625,3,1.000000000000,692
m_d47303d417,705878.00,41522.235294,17,5.66666666666667,3,1.000000000000,710
m_d4e8d2212a,299605.00,33289.444444,9,3,3,1.000000000000,725
m_d5185d042c,523824.00,43652.000000,12,6,3,1.000000000000,721
m_d65103c8c7,366295.00,28176.538461,13,4.33333333333333,3,1.000000000000,726
m_d7206fb2c2,4846729.00,42145.469565,115,12.7777777777778,3,1.000000000000,702
m_d7fb26fe02,300120.00,50020.000000,6,2,2,0.833333333333,730
m_d926a4e4b8,1817388.00,47826.000000,38,9.5,3,1.000000000000,680
m_d99f6e6fb3,921127.00,46056.350000,20,10,3,0.950000000000,696
m_da065a694d,7126519.00,41193.751445,173,34.6,3,1.000000000000,720
m_dc7fb105b3,1165314.00,37590.774193,31,15.5,3,1.000000000000,701
m_dcc3f47e35,2058708.00,43802.297872,47,23.5,3,1.000000000000,677
m_dd2719a247,1466303.00,35763.487804,41,10.25,3,0.975609756097,721
m_dd98fdf0c2,760648.00,47540.500000,16,8,3,1.000000000000,675
m_dda63e3c5d,4439816.00,38607.095652,115,38.3333333333333,3,1.000000000000,697
m_ddf2807eab,70813.00,70813.000000,1,NULL,1,1.000000000000,708
m_df864e5208,1602082.00,36410.954545,44,11,3,1.000000000000,718
m_e093912b8d,4566885.00,40775.758928,112,37.3333333333333,3,1.000000000000,673
m_e12f461842,934001.00,34592.629629,27,6.75,3,1.000000000000,718
m_e1eb58cc69,1854947.00,41221.044444,45,11.25,3,1.000000000000,675
m_e2458d1cb3,1586574.00,41751.947368,38,7.6,3,1.000000000000,713
m_e2835fd4fb,150224.00,50074.666666,3,NULL,2,1.000000000000,710
m_e40d65ded4,14334212.00,40606.832861,353,50.4285714285714,3,0.997167138810,685
m_e50a2ee02c,200125.00,40025.000000,5,2.5,2,1.000000000000,731
m_e5ff22e0bc,515538.00,36824.142857,14,7,3,1.000000000000,705
m_e61b569d8a,47629.00,47629.000000,1,NULL,1,1.000000000000,678
m_e6b154ec9c,4127286.00,42549.340206,97,13.8571428571429,3,1.000000000000,698
m_e6bc521f3d,647343.00,49795.615384,13,6.5,3,1.000000000000,701
m_e8b8ab65d3,969639.00,44074.500000,22,7.33333333333333,3,1.000000000000,696
m_edfe8aac84,20190925.00,41038.465447,492,49.2,3,1.000000000000,719
m_f09d23297b,262352.00,37478.857142,7,2.33333333333333,3,1.000000000000,720
m_f0be43ae2d,879699.00,38247.782608,23,7.66666666666667,3,1.000000000000,708
m_f173f1f84d,1043247.00,35974.034482,29,5.8,3,1.000000000000,719
m_f327d9e7df,5436515.00,40876.052631,133,33.25,3,1.000000000000,678
m_f3717d2db9,154820.00,51606.666666,3,1,2,1.000000000000,728
m_f391cdaa4c,393791.00,49223.875000,8,4,3,1.000000000000,703
m_f488d769b2,248122.00,49624.400000,5,2.5,3,1.000000000000,715
m_f509d20312,56316.00,56316.000000,1,NULL,1,1.000000000000,709
m_f5bff98523,6758884.00,39295.837209,172,43,3,1.000000000000,687
m_f6132644ff,5017812.00,41815.100000,120,40,3,1.000000000000,683
m_f8c9b82dcb,451180.00,41016.363636,11,3.66666666666667,3,1.000000000000,725
m_f91e5a3cdb,1033798.00,36921.357142,28,14,3,1.000000000000,675
m_f969e9850d,4157822.00,38498.351851,108,27,3,1.000000000000,724
m_fa1900e13f,419465.00,46607.222222,9,4.5,3,1.000000000000,686
m_fa5415787c,129982.00,64991.000000,2,1,1,1.000000000000,701
m_fb62988e38,4220955.00,39082.916666,108,13.5,3,1.000000000000,696
m_fcc376107b,731371.00,36568.550000,20,5,3,0.950000000000,726
m_fdbae50859,4386316.00,37172.169491,118,39.3333333333333,3,1.000000000000,678
m_fddc0886be,1614278.00,39372.634146,41,20.5,3,1.000000000000,676
m_fe15c360c7,2270916.00,40552.071428,56,11.2,3,1.000000000000,688
m_fe5fc2e5e8,2444610.00,45270.555555,54,10.8,3,1.000000000000,684
m_feea22267a,2495797.00,40254.790322,62,31,3,1.000000000000,684
m_ff50f026dc,81686.00,40843.000000,2,NULL,2,1.000000000000,695
m_ffc06b5a5b,729436.00,52102.571428,14,7,3,1.000000000000,702
